date,value
2021-02-28,47
2021-03-01,26
2021-03-02,35
2021-03-03,77
2021-03-04,14
2021-03-05,51
2021-03-06,75
2021-03-07,74
2021-03-08,75
2021-03-09,11
2021-03-10,7
2021-03-11,14
2021-03-12,25
2021-03-13,45
2021-03-14,47
2021-03-15,34
2021-03-16,35
2021-03-17,95
2021-03-18,82
2021-03-19,28
2021-03-20,74
2021-03-21,93
2021-03-22,2
2021-03-23,47
2021-03-24,82
2021-03-25,42
2021-03-26,61
2021-03-27,47
2021-03-28,31
2021-03-29,4
2021-03-30,19
2021-03-31,27
2021-04-01,21
2021-04-02,36
2021-04-03,16
2021-04-04,17
2021-04-05,53
2021-04-06,6
2021-04-07,93
2021-04-08,28
2021-04-09,83
2021-04-10,62
2021-04-11,84
2021-04-12,7
2021-04-13,48
2021-04-14,44
2021-04-15,57
2021-04-16,85
2021-04-17,96
2021-04-18,63
2021-04-19,32
2021-04-20,3
2021-04-21,22
2021-04-22,56
2021-04-23,1
2021-04-24,59
2021-04-25,20
2021-04-26,28
2021-04-27,92
2021-04-28,96
2021-04-29,37
2021-04-30,23
2021-05-01,1
2021-05-02,16
2021-05-03,90
2021-05-04,52
2021-05-05,54
2021-05-06,33
2021-05-07,20
2021-05-08,24
2021-05-09,33
2021-05-10,67
2021-05-11,82
2021-05-12,24
2021-05-13,71
2021-05-14,86
2021-05-15,92
2021-05-16,33
2021-05-17,68
2021-05-18,69
2021-05-19,91
2021-05-20,8
2021-05-21,72
2021-05-22,32
2021-05-23,68
2021-05-24,2
2021-05-25,50
2021-05-26,48
2021-05-27,8
2021-05-28,73
2021-05-29,59
2021-05-30,91
2021-05-31,4
2021-06-01,65
2021-06-02,77
2021-06-03,43
2021-06-04,23
2021-06-05,60
2021-06-06,71
2021-06-07,13
2021-06-08,85
2021-06-09,57
2021-06-10,37
2021-06-11,44
2021-06-12,53
2021-06-13,20
2021-06-14,45
2021-06-15,22
2021-06-16,2
2021-06-17,26
2021-06-18,21
2021-06-19,48
2021-06-20,84
2021-06-21,44
2021-06-22,89
2021-06-23,21
2021-06-24,56
2021-06-25,6
2021-06-26,68
2021-06-27,65
2021-06-28,54
2021-06-29,87
2021-06-30,91
2021-07-01,44
2021-07-02,64
2021-07-03,87
2021-07-04,41
2021-07-05,1
2021-07-06,38
2021-07-07,48
2021-07-08,29
2021-07-09,42
2021-07-10,76
2021-07-11,2
2021-07-12,90
2021-07-13,87
2021-07-14,33
2021-07-15,78
2021-07-16,18
2021-07-17,58
2021-07-18,20
2021-07-19,83
2021-07-20,91
2021-07-21,30
2021-07-22,42
2021-07-23,11
2021-07-24,34
2021-07-25,22
2021-07-26,3
2021-07-27,67
2021-07-28,95
2021-07-29,47
2021-07-30,35
2021-07-31,93
2021-08-01,78
2021-08-02,44
2021-08-03,8
2021-08-04,67
2021-08-05,3
2021-08-06,27
2021-08-07,25
2021-08-08,78
2021-08-09,14
2021-08-10,70
2021-08-11,57
2021-08-12,13
2021-08-13,14
2021-08-14,52
2021-08-15,79
2021-08-16,66
2021-08-17,20
2021-08-18,75
2021-08-19,31
2021-08-20,89
2021-08-21,79
2021-08-22,57
2021-08-23,32
2021-08-24,37
2021-08-25,73
2021-08-26,73
2021-08-27,30
2021-08-28,48
2021-08-29,27
2021-08-30,19
2021-08-31,35
2021-09-01,23
2021-09-02,60
2021-09-03,95
2021-09-04,50
2021-09-05,50
2021-09-06,38
2021-09-07,53
2021-09-08,77
2021-09-09,45
2021-09-10,20
2021-09-11,17
2021-09-12,23
2021-09-13,24
2021-09-14,19
2021-09-15,75
2021-09-16,80
2021-09-17,57
2021-09-18,69
2021-09-19,27
2021-09-20,11
2021-09-21,40
2021-09-22,24
2021-09-23,16
2021-09-24,56
2021-09-25,76
2021-09-26,12
2021-09-27,38
2021-09-28,64
2021-09-29,1
2021-09-30,36
2021-10-01,86
2021-10-02,35
2021-10-03,8
2021-10-04,84
2021-10-05,99
2021-10-06,53
2021-10-07,89
2021-10-08,40
2021-10-09,38
2021-10-10,73
2021-10-11,31
2021-10-12,27
2021-10-13,36
2021-10-14,66
2021-10-15,53
2021-10-16,30
2021-10-17,30
2021-10-18,9
2021-10-19,88
2021-10-20,61
2021-10-21,67
2021-10-22,41
2021-10-23,93
2021-10-24,16
2021-10-25,45
2021-10-26,41
2021-10-27,17
2021-10-28,75
2021-10-29,47
2021-10-30,5
2021-10-31,7
2021-11-01,76
2021-11-02,98
2021-11-03,8
2021-11-04,46
2021-11-05,79
2021-11-06,33
2021-11-07,30
2021-11-08,55
2021-11-09,83
2021-11-10,93
2021-11-11,32
2021-11-12,21
2021-11-13,70
2021-11-14,57
2021-11-15,66
2021-11-16,74
2021-11-17,22
2021-11-18,48
2021-11-19,42
2021-11-20,76
2021-11-21,22
2021-11-22,19
2021-11-23,98
2021-11-24,25
2021-11-25,42
2021-11-26,50
2021-11-27,71
2021-11-28,94
2021-11-29,13
2021-11-30,49
2021-12-01,90
2021-12-02,62
2021-12-03,90
2021-12-04,53
2021-12-05,82
2021-12-06,6
2021-12-07,26
2021-12-08,3
2021-12-09,79
2021-12-10,3
2021-12-11,27
2021-12-12,45
2021-12-13,67
2021-12-14,51
2021-12-15,54
2021-12-16,21
2021-12-17,17
2021-12-18,1
2021-12-19,83
2021-12-20,77
2021-12-21,73
2021-12-22,87
2021-12-23,30
2021-12-24,31
2021-12-25,33
2021-12-26,28
2021-12-27,14
2021-12-28,3
2021-12-29,4
2021-12-30,89
2021-12-31,92
